Test Method=tm1(), Test Class=CTest [JUNIT3], References={CTest.c:C, var3:boolean, var1:boolean, var1:boolean, CTest.c:C, var1:boolean, var3:boolean, var1:boolean, var3:boolean, CTest.c:C, }, Invocations={C.C():void, CTest.thm3(java.lang.String, boolean):void, CTest.thm3(java.lang.String, boolean):void, C.m1(java.lang.String):boolean, C.m2(java.lang.String, java.lang.String):UNKNOWNP.UNKNOWN, CTest.thm2(java.lang.String):void, CTest.thm1(java.lang.String):void, CTest.thm1(java.lang.String):void, CTest.thm2(java.lang.String):void, }, Assertions={fail, }
id=3623 rank=1 score=2.860 fqn=org.exist.xmldb.test.DTMHandleTest heuristics={A:1.000, R:1.000, K:0.860}
id=3839 rank=1 score=2.860 fqn=org.exist.xmldb.DTMHandleTest heuristics={A:1.000, R:1.000, K:0.860}
id=13586 rank=3 score=2.612 fqn=de.schlund.pfixxml.util.XmlTest heuristics={A:1.000, R:1.000, K:0.612}
id=3815 rank=4 score=2.576 fqn=org.exist.xmldb.IndexingTest heuristics={A:1.000, R:1.000, K:0.576}
id=3575 rank=4 score=2.576 fqn=org.exist.xmldb.test.IndexingTest heuristics={A:1.000, R:1.000, K:0.576}
id=3831 rank=6 score=2.525 fqn=org.exist.xmldb.DOMTestJUnit heuristics={A:1.000, R:1.000, K:0.525}
id=3609 rank=6 score=2.525 fqn=org.exist.xmldb.test.DOMTestJUnit heuristics={A:1.000, R:1.000, K:0.525}
id=5082 rank=8 score=2.515 fqn=test.org.softnetwork.xml.sax.helpers.TestSaxReader heuristics={A:1.000, R:1.000, K:0.515}
id=19478 rank=9 score=2.470 fqn=fll.web.FullTournamentTest heuristics={A:1.000, R:1.000, K:0.470}
id=5564 rank=10 score=2.443 fqn=org.joda.time.TestDateTimeComparator heuristics={A:1.000, R:1.000, K:0.443}
id=12636 rank=11 score=2.325 fqn=org.dhmp.util.BasicHierarchicalMapTest heuristics={A:1.000, R:1.000, K:0.325}
id=12229 rank=12 score=2.301 fqn=Run_Time.TypeCheckTest heuristics={A:1.000, R:1.000, K:0.301}
id=6987 rank=13 score=2.299 fqn=datadog.sessions.JdbcTransactionTest heuristics={A:1.000, R:1.000, K:0.299}
id=14107 rank=14 score=2.290 fqn=org.openjf.BoardContainerTest heuristics={A:1.000, R:1.000, K:0.290}
id=5491 rank=15 score=2.279 fqn=org.joda.time.convert.TestConverterManager heuristics={A:1.000, R:1.000, K:0.279}
id=3582 rank=16 score=2.265 fqn=org.exist.xmldb.test.RemoteQueryTest heuristics={A:1.000, R:1.000, K:0.265}
id=3820 rank=16 score=2.265 fqn=org.exist.xmldb.RemoteQueryTest heuristics={A:1.000, R:1.000, K:0.265}
id=18623 rank=18 score=2.208 fqn=org.lockss.exporter.biblio.TestBibliographicOrderScorer heuristics={A:1.000, R:1.000, K:0.208}
id=8618 rank=19 score=2.196 fqn=quickfix.SessionScheduleTest heuristics={A:1.000, R:1.000, K:0.196}
id=4442 rank=20 score=2.188 fqn=tests.org.ntropa.build.html.MarkedUpHtmlParserTest heuristics={A:1.000, R:1.000, K:0.188}
id=15030 rank=21 score=2.185 fqn=org.jaxlib.junit.XTestCase heuristics={A:1.000, R:1.000, K:0.185}
id=8456 rank=22 score=2.184 fqn=quickfix.MessageTest heuristics={A:1.000, R:1.000, K:0.184}
id=14724 rank=23 score=2.000 fqn=com.zimbra.qa.unittest.TestTags heuristics={A:1.000, R:1.000}
id=16661 rank=23 score=2.000 fqn=org.mifos.accounts.persistence.LegacyAccountDaoIntegrationTest heuristics={A:1.000, R:1.000}
id=1839 rank=23 score=2.000 fqn=org.mbari.vars.annotation.model.dao.ProgressiveCrudTest heuristics={A:1.000, R:1.000}
id=3682 rank=23 score=2.000 fqn=org.exist.storage.test.BTreeRecoverTest heuristics={A:1.000, R:1.000}
id=11352 rank=23 score=2.000 fqn=net.sourceforge.cruisecontrol.publishers.RSSPublisherTest heuristics={A:1.000, R:1.000}
id=19703 rank=23 score=2.000 fqn=org.exist.storage.MoveCollectionTest heuristics={A:1.000, R:1.000}
id=3520 rank=23 score=2.000 fqn=org.exist.xquery.test.DeepEqualTest heuristics={A:1.000, R:1.000}
id=2134 rank=23 score=2.000 fqn=atg.repository.beans.RepositoryBeansTest heuristics={A:1.000, R:1.000}
id=13725 rank=23 score=2.000 fqn=net.sf.jameleon.plugin.htmlunit.util.HtmlUnitHelperTest heuristics={A:1.000, R:1.000}
id=5571 rank=23 score=2.000 fqn=org.joda.time.TestDateTimeZone heuristics={A:1.000, R:1.000}
id=2555 rank=23 score=2.000 fqn=fitnesse.wiki.FileSystemPageTest heuristics={A:1.000, R:1.000}
id=3897 rank=23 score=2.000 fqn=org.exist.storage.RecoveryTest2 heuristics={A:1.000, R:1.000}
id=7575 rank=23 score=2.000 fqn=com.kneobase.driver.ftp.FtpClientTest heuristics={A:1.000, R:1.000}
id=11294 rank=23 score=2.000 fqn=net.sourceforge.cruisecontrol.publishers.sfee.SFEEFrsPublisherTest heuristics={A:1.000, R:1.000}
id=8189 rank=23 score=2.000 fqn=net.sf.jguiraffe.gui.builder.action.tags.TestEventListenerTag heuristics={A:1.000, R:1.000}
id=11136 rank=23 score=2.000 fqn=net.sourceforge.cruisecontrol.builders.Maven2BuilderTest heuristics={A:1.000, R:1.000}
id=13923 rank=23 score=2.000 fqn=net.sf.jameleon.function.AttributeBrokerTest heuristics={A:1.000, R:1.000}
id=7253 rank=23 score=2.000 fqn=fitnesse.wiki.FileSystemPageTestXFIXME heuristics={A:1.000, R:1.000}
id=8128 rank=23 score=2.000 fqn=net.sf.jguiraffe.gui.builder.components.tags.TestUseBeanBaseTag heuristics={A:1.000, R:1.000}
id=11059 rank=23 score=2.000 fqn=net.sourceforge.cruisecontrol.servlet.FileServletTest heuristics={A:1.000, R:1.000}
id=17030 rank=23 score=2.000 fqn=org.mifos.application.master.persistence.LegacyMasterDaoIntegrationTest heuristics={A:1.000, R:1.000}
id=1744 rank=23 score=2.000 fqn=test.org.mbari.vars.annotation.model.dao.CrudTest3 heuristics={A:1.000, R:1.000}
id=3006 rank=23 score=2.000 fqn=utils.TestCaseWithOutput heuristics={A:1.000, R:1.000}
id=3698 rank=23 score=2.000 fqn=org.exist.storage.test.ResourceTest heuristics={A:1.000, R:1.000}
id=2741 rank=23 score=2.000 fqn=net.sourceforge.cobertura.ant.FunctionalTest heuristics={A:1.000, R:1.000}
id=5106 rank=23 score=2.000 fqn=org.jivesoftware.smack.util.StringUtilsTest heuristics={A:1.000, R:1.000}
id=11366 rank=23 score=2.000 fqn=net.sourceforge.cruisecontrol.publishers.LinkEmailPublisherTest heuristics={A:1.000, R:1.000}
id=15852 rank=23 score=2.000 fqn=net.thefrontside.crosscheck.TestSuiteTest heuristics={A:1.000, R:1.000}
